iter	Passed	Remaining
0	1	102
1	1	97
2	2	90
3	3	83
4	4	83
5	5	81
6	6	80
7	6	79
8	7	78
9	8	78
10	9	79
11	10	78
12	11	78
13	12	77
14	13	76
15	14	75
16	15	74
17	16	73
18	16	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	66
24	22	66
25	23	66
26	24	65
27	25	64
28	26	63
29	26	62
30	27	61
31	29	61
32	30	61
33	31	60
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	67	28
70	69	28
71	70	27
72	71	26
73	74	26
74	75	25
75	78	24
76	79	23
77	81	22
78	82	21
79	84	21
80	85	19
81	104	22
82	107	21
83	108	20
84	111	19
85	113	18
86	114	17
87	116	15
88	117	14
89	119	13
90	120	11
91	121	10
92	122	9
93	123	7
94	136	7
95	137	5
96	140	4
97	143	2
98	144	1
99	145	0
